filename,store,put,wrtmp,loadg,storeg,cas,sucessors,predecessors
gcc_coreutils8.31_O2_unexpand,1367,8539,12742,0,0,0,1927,1927
gcc_coreutils8.31_O2_sort,4796,33556,59763,0,0,0,7897,7897
gcc_coreutils8.31_O2_dircolors,1437,8943,13707,0,0,0,2059,2059
gcc_coreutils8.31_O3_expand,2897,16439,20965,0,0,0,2931,2931
gcc_coreutils8.31_O1_dirname,1042,5788,9737,0,0,0,1427,1427
gcc_coreutils8.31_O1_test,1784,12535,24078,0,0,0,3542,3542
gcc_coreutils8.31_O3_mv,7667,48789,82862,0,0,0,11567,11567
gcc_coreutils8.31_O0_expand,1636,8177,13691,0,0,0,1940,1940
gcc_coreutils8.31_O3_df,5445,36592,58904,0,0,0,8393,8393
gcc_coreutils8.31_O1_csplit,4507,31525,55835,0,0,0,9226,9226
gcc_coreutils8.31_O2_rm,2821,19087,29835,0,0,0,4737,4737
gcc_coreutils8.31_O3_sha1sum,3403,19845,37950,0,0,0,3609,3609
gcc_coreutils8.31_O0_nohup,1712,8212,14420,0,0,0,1927,1927
gcc_coreutils8.31_O1_tail,2421,15923,26697,0,0,0,4727,4727
gcc_coreutils8.31_O0_shuf,3163,16464,28241,0,0,0,3764,3764
gcc_coreutils8.31_O3_chroot,3182,17628,23406,0,0,0,3342,3342
gcc_coreutils8.31_O1_yes,1095,5960,9980,0,0,0,1453,1453
gcc_coreutils8.31_O0_shred,3114,15784,29222,0,0,0,3740,3740
gcc_coreutils8.31_O1_dd,2841,18335,31866,0,0,0,5249,5249
gcc_coreutils8.31_O1_basename,1056,5867,9981,0,0,0,1484,1484
gcc_coreutils8.31_O2_link,1196,7004,10673,0,0,0,1458,1458
gcc_coreutils8.31_O3_sum,3206,19129,29166,0,0,0,3506,3506
gcc_coreutils8.31_O3_comm,3102,17649,22943,0,0,0,3154,3154
gcc_coreutils8.31_O2_tty,1137,6716,10238,0,0,0,1419,1419
gcc_coreutils8.31_O1_join,1637,9840,16385,0,0,0,2705,2705
gcc_coreutils8.31_O0_tty,1383,6761,11433,0,0,0,1516,1516
gcc_coreutils8.31_O0_ls,6581,37312,69976,0,0,0,9628,9628
gcc_coreutils8.31_O0_rm,3389,19417,34349,0,0,0,4847,4847
gcc_coreutils8.31_O0_uptime,2338,11774,23386,0,0,0,2996,2996
gcc_coreutils8.31_O0_printenv,1382,6869,11698,0,0,0,1539,1539
gcc_coreutils8.31_O3_printenv,2678,14822,18949,0,0,0,2471,2471
gcc_coreutils8.31_O0_dir,6581,37312,69976,0,0,0,9628,9628
gcc_coreutils8.31_O1_sha224sum,1562,9297,28218,0,0,0,2362,2362
gcc_coreutils8.31_O1_date,3742,23152,46588,0,0,0,6548,6548
gcc_coreutils8.31_O1_fold,1187,6639,11243,0,0,0,1727,1727
gcc_coreutils8.31_O3_sleep,2872,15700,20193,0,0,0,2657,2657
gcc_coreutils8.31_O3_csplit,7835,54275,86037,0,0,0,13003,13003
gcc_coreutils8.31_O2_dir,4740,37595,68587,0,0,0,9467,9467
gcc_coreutils8.31_O1_base32,1324,7660,13411,0,0,0,2059,2059
gcc_coreutils8.31_O3_yes,2784,15275,19484,0,0,0,2549,2549
gcc_coreutils8.31_O1_head,1481,8631,14454,0,0,0,2334,2334
gcc_coreutils8.31_O2_pathchk,1196,7319,11177,0,0,0,1592,1592
gcc_coreutils8.31_O2_dirname,1158,7084,10796,0,0,0,1492,1492
gcc_coreutils8.31_O3_[,3489,22675,35736,0,0,0,4653,4653
gcc_coreutils8.31_O0_head,2066,10678,18203,0,0,0,2558,2558
gcc_coreutils8.31_O3_paste,2895,16063,21053,0,0,0,2876,2876
gcc_coreutils8.31_O2_cp,4737,30771,51290,0,0,0,7442,7442
gcc_coreutils8.31_O3_factor,4782,28373,45842,0,0,0,6029,6029
gcc_coreutils8.31_O1_uniq,1489,8618,14152,0,0,0,2257,2257
gcc_coreutils8.31_O3_nice,2770,15842,20586,0,0,0,2804,2804
gcc_coreutils8.31_O2_comm,1541,9303,13944,0,0,0,2014,2014
gcc_coreutils8.31_O1_cp,4014,24915,45502,0,0,0,7166,7166
gcc_coreutils8.31_O3_head,3209,18738,24650,0,0,0,3548,3548
gcc_coreutils8.31_O0_csplit,6462,43790,83886,0,0,0,10541,10541
gcc_coreutils8.31_O3_mkdir,3705,22177,33407,0,0,0,4552,4552
gcc_coreutils8.31_O2_mkdir,2131,14042,24575,0,0,0,3452,3452
gcc_coreutils8.31_O2_timeout,1545,8964,13813,0,0,0,2069,2069
gcc_coreutils8.31_O0_rmdir,1530,7510,12812,0,0,0,1721,1721
gcc_coreutils8.31_O3_dd,4683,29863,45952,0,0,0,6539,6539
gcc_coreutils8.31_O0_realpath,2237,12604,21826,0,0,0,2865,2865
gcc_coreutils8.31_O3_test,3042,19263,32726,0,0,0,4238,4238
gcc_coreutils8.31_O3_unlink,2750,14978,19140,0,0,0,2493,2493
gcc_coreutils8.31_O0_tsort,1794,8821,14731,0,0,0,2005,2005
gcc_coreutils8.31_O0_kill,1593,8011,13999,0,0,0,1918,1918
gcc_coreutils8.31_O0_pathchk,1511,7496,12708,0,0,0,1728,1728
gcc_coreutils8.31_O1_chgrp,2285,14189,24909,0,0,0,4224,4224
gcc_coreutils8.31_O3_uniq,3258,19296,25124,0,0,0,3547,3547
